HyperMinHash-java,JavaMOP,,JavaMOP + ps1c,,Valg + ps1c,,JavaMOP + ps3cl,,Valg + ps3cl,
,time,violation,time,violation,time,violation,time,violation,time,violation
7b78f286f2426ed15bcb01e05b00eb00984b3719,85.37,4262571(4),71.84,0(0),56.46,0(0),15.31,0(0),23.19,0(0)
0c9f308d94d9a3a43e21751e5190a35c53a0b126,75.64,4262571(4),64.06,0(0),55.58,0(0),21.02,0(0),16.51,0(0)
0af2a93d45650a4dd19f15ec71448f7aa23e9ddd,78.52,4262571(4),81.82,0(0),57.04,0(0),16.33,0(0),17.02,0(0)
a7a2661b2bc39c5fa90956ba8a3885f1b83f6573,74.17,4262571(4),79.97,0(0),60.45,0(0),34.95,0(0),28.41,0(0)
e9fb3765f50b50db9917c4788a256a2650deee61,81.17,4262571(4),67.72,0(0),60.08,0(0),16.51,0(0),17.88,0(0)
b23596696fbf1704f87540142c11fa35dab1ebc8,79.36,4262585(4),68.8,0(0),58.37,0(0),17.25,0(0),17.66,0(0)
3c3cacaeed86aee90d17a504e7ba843b6ab3f930,75.82,4262585(4),65.78,0(0),62.99,0(0),13.99,0(0),13.91,0(0)
a784bf3895c6d76f9ebe40cf39e4b88ba17a4e69,86.44,4262585(4),3.32,0(0),4.52,0(0),3.22,0(0),3.17,0(0)
e8499a9b98c903b8f670f615271672060802b13b,77.7,4262585(4),4.86,0(0),4.96,0(0),5.81,0(0),4.84,0(0)
c421010cd56e6d69adff44ef1fc3881106f1d809,409.9,4262585(4),67.49,0(0),63.39,0(0),17.75,0(0),18.45,0(0)
f644d2aaa176f46f15600056bccad8ece94d0625,421.32,4262585(4),67.04,0(0),54.26,0(0),14.21,0(0),12.81,0(0)
f88f3c8e387ec902e56406da2d45929cc1d799c2,88.3,4262585(4),64.96,0(0),147.32,0(0),17.59,0(0),17.25,0(0)
91574bc48822cde815d4a4e10542167f94042b45,114.42,4262585(4),72.43,0(0),59.37,0(0),14.11,0(0),15.62,0(0)
9bde20243cbaf11c9fc7e7af8a3de467f2a4c1d2,86.16,4262585(4),77.49,0(0),57.75,0(0),14.49,0(0),17.46,0(0)
1e2f159b6ff20500ef65ad82580c66be5a14f7a2,82.79,4380665(6),73.34,58977(1),59.38,58977(1),15.36,0(0),15.58,0(0)
0bc58a4f7a4d050e8c7914edd1d1f17d5576fb18,86.84,4380665(6),3.53,0(0),4.4,0(0),3.69,0(0),3.27,0(0)
0092942a2d97537b7c8fa6d949d84928db9590bc,96.77,4380665(6),67.33,58977(1),59.51,10733(1),14.38,0(0),14.79,0(0)
811b21d568783967caa0d63b38b180da058de88a,78.33,4380665(6),3.41,0(0),3.47,0(0),3.17,0(0),3.61,0(0)
cf7a3453c1b5822f6faf7056691b34c2e47df9b8,84.26,4380665(6),3.26,0(0),3.29,0(0),3.35,0(0),3.17,0(0)
5cfe0c8f29037b15a1644219b2e3bf2778945596,79.84,4380665(6),3.35,0(0),3.26,0(0),3.46,0(0),3.32,0(0)
99c4d396fe4f81ea158744337c896015189e40f2,86.36,4380665(6),87.3,4380665(6),62.13,9840(6),86.34,4380665(6),62.41,58982(6)
8f4fce7f6d764711bc575e2d4bf48e85c1d7768b,84.96,4380665(6),76.43,58977(1),56.41,49683(1),19.93,0(0),13.69,0(0)
74e7d7afa007b48775a9c7da524a74358f3991e3,82.36,4380665(6),3.67,0(0),3.65,0(0),3.41,0(0),3.55,0(0)
94c84bc3a14df845b96cf9d0076282b2d2fd627b,79.74,4380665(6),4.7,0(0),3.35,0(0),3.49,0(0),3.4,0(0)
dec52e95409a003a8c73f8c1084ad230859b7c12,85.14,4380665(6),4.19,0(0),3.72,0(0),3.52,0(0),3.33,0(0)
0071f446bafe306ee2d58f9049a3de8ede69c2f3,88.97,4380665(6),3.32,0(0),3.31,0(0),3.63,0(0),3.34,0(0)
03afb8bef4de348c3d74688aebb643ca5c26358f,87.58,4380665(6),3.56,0(0),3.56,0(0),3.59,0(0),3.63,0(0)
31cf8dc87c0c914c7034449b62176b7292b1daae,81.47,4380665(6),3.47,0(0),3.39,0(0),3.46,0(0),3.43,0(0)
478b46a715f936e514969e14b527654b78beb28c,85.33,4380665(6),3.41,0(0),3.45,0(0),3.6,0(0),3.45,0(0)
15e598ac867ca66123c97c61b067c9b80f1c6d8c,83.7,4380665(6),80.6,4380665(6),63.56,58982(6),93.73,4380665(6),64.31,48712(6)
a35d078b6a7154b86dd254b672776cf6d9d4e86a,79.44,4380665(6),4.05,0(0),3.91,0(0),3.8,0(0),4.58,0(0)
eefae70f08bfddcd0a1f48075f272ddcfcadeeba,78.06,4380665(6),3.49,0(0),3.4,0(0),3.47,0(0),3.35,0(0)
84d3184d553b193d3d6484b6463ac48c7ce04f45,82.82,4380665(6),73.16,58977(1),62.69,27163(1),30.08,0(0),24.65,0(0)
4bb29d909ee90819cb4a1b6fb1aeb05182bde36f,85.85,4380665(6),5.02,0(0),4.14,0(0),3.6,0(0),3.9,0(0)
940d5723682c34e53a0ea8a96e6338ba22712eff,81.74,4380665(6),94.32,4380665(6),67.6,11870(6),92.59,4380665(6),70.21,57493(6)
7d262a118f29cf01eb9b88f7a2a3ac98f5ce299a,81.82,4380665(6),90.27,4380665(6),111.19,10114(6),6.9,0(0),5.53,0(0)
57f99fcfa3ffe7fd3c9d57f4da0619837a523644,80.26,4380665(6),4.75,0(0),18.16,0(0),5.39,0(0),3.37,0(0)
4088b0469c9a5a144fd085ddb2712c701ff8c785,82.59,4380665(6),3.37,0(0),9.77,0(0),3.4,0(0),3.46,0(0)
4c5e26a049a06415a6bdcafbb09fec53a9040e63,92.06,4380672(6),87.49,4380672(6),153.95,27246(6),101.99,4380672(6),65.97,58982(6)
c54ba9e1b0fc6931df5e9a415b68f7060baa1b84,85.79,4380672(6),3.68,0(0),16.23,0(0),4,0(0),3.76,0(0)
c8179fedabe4dc5feea6a566503f3cccda960c4c,82.61,4380672(6),3.35,0(0),14.59,0(0),3.72,0(0),3.44,0(0)
8796ed51f2727a30b1ccff02c8aeaa6331ec318c,81.68,4380672(6),66.46,58977(1),122.91,58977(1),16.42,0(0),15.43,0(0)
0ece2a2f77fd4f78a528353c04b1ab88c152f1f2,81.88,4380672(6),104.03,4380672(6),157.9,48790(6),98.12,4380672(6),68.51,58977(6)
b0b672be217cb8752742bc1cda3c9ac1b9fd157a,79.43,4380672(6),5.76,0(0),46.92,0(0),5.55,0(0),5.49,0(0)
a3cb328ff8bbb169be4e9aa19746291c9474ec59,83.04,4380672(6),5.41,0(0),8.1,0(0),5.63,0(0),5.05,0(0)
4ff7fef141296ffe1d47a89ad40cefda7311566d,87.08,4380672(6),3.47,0(0),5.56,0(0),4.31,0(0),6.9,0(0)
